#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-15.78557232212201
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-20.72326583694641
#<METADATA>Ln prior of deletion of length 3=-17.100102904524313
#<METADATA>Ln prior of deletion of length 2=-15.770741014820668
#<METADATA>Ln prior of deletion of length 1=-15.798894775536796
#<METADATA>Ln prior of SNV=-11.491278609212799
#<METADATA>Ln prior of insertion of length 1=-18.544960091866493
#<METADATA>Ln prior of insertion of length 2=-20.72326583694641
#<METADATA>Ln prior of insertion of length 3=-20.72326583694641
#<METADATA>Ln prior of insertion of length 4=-20.72326583694641
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.1516, alpha = 2.03, beta = 3.57
#<METADATA>High-AF beta-binomial cluster=weight = 0.0635, alpha = 10.22, beta = 0.51
#<METADATA>Binomial cluster=weight = 0.5515, mean = 0.487
#<METADATA>Binomial cluster=weight = 0.2335, mean = 0.113
#<METADATA>threshold=0.412
#<METADATA>fdr=0.01
#<METADATA>sensitivity=0.913
filter	FP	FDR	FN	FNR
weak_evidence	0.35	0.01	2.28	0.03
strand_bias	0.34	0.0	3.78	0.05
normal_artifact	0.0	0.0	1.34	0.02
slippage	0.0	0.0	0.04	0.0
haplotype	0.02	0.0	0.6	0.01
germline	0.0	0.0	0.04	0.0
